iter	Logloss
0	0.6843675704
1	0.6771469963
2	0.668577338
3	0.6592374431
4	0.6521105418
5	0.6452825558
6	0.6392031152
7	0.6333638589
8	0.6276490014
9	0.6223635543
10	0.6159171268
11	0.6096663761
12	0.6037588052
13	0.5990450647
14	0.5949471523
15	0.589634911
16	0.5857757011
17	0.5816143716
18	0.5781507926
19	0.5743580743
20	0.5704669235
21	0.5667459612
22	0.5635835839
23	0.5608603999
24	0.5579927807
25	0.5551581335
26	0.5521834244
27	0.5497104046
28	0.5473338546
29	0.5449648347
30	0.5426780164
31	0.5404698184
32	0.5380862597
33	0.5361409323
34	0.5341990975
35	0.5319046369
36	0.5296287916
37	0.5281315752
38	0.5260833583
39	0.5242925337
40	0.5225391632
41	0.5205955644
42	0.5190566835
43	0.5173985585
44	0.515824479
45	0.5140196912
46	0.5127443848
47	0.5112271631
48	0.5098266875
49	0.5087863125
50	0.5076415979
51	0.5066800498
52	0.505143221
53	0.5041781226
54	0.5031142309
55	0.501903906
56	0.5007826843
57	0.4994155574
58	0.4984600663
59	0.4977675519
60	0.4967149637
61	0.4956982215
62	0.4948712437
63	0.4937320376
64	0.4929955477
65	0.4920689753
66	0.4912694976
67	0.4904610827
68	0.489677789
69	0.4888754932
70	0.4881976441
71	0.4874727257
72	0.4868686463
73	0.4862511023
74	0.4854049552
75	0.4846078788
76	0.4839058522
77	0.4831800899
78	0.4825175761
79	0.4817818738
80	0.481303896
81	0.4807806663
82	0.4802704659
83	0.4797511301
84	0.4792539236
85	0.4787499035
86	0.4782342236
87	0.4776689199
88	0.4771473327
89	0.4766395345
90	0.4761767579
91	0.475711881
92	0.4750212437
93	0.4746047304
94	0.4742066284
95	0.4736654077
96	0.4732540534
97	0.4728426489
98	0.4724082976
99	0.4719742978
100	0.4714682908
101	0.4710139778
102	0.4706101189
103	0.4701828469
104	0.4696400405
105	0.4692739785
106	0.4687408342
107	0.4683437199
108	0.4678644457
109	0.467422766
110	0.466878329
111	0.4664240904
112	0.465980261
113	0.4657027905
114	0.4653382185
115	0.465052102
116	0.4647035226
117	0.4641944013
118	0.4637822667
119	0.4633651248
120	0.4631184466
121	0.4627887712
122	0.4623611426
123	0.4620353019
124	0.4617574918
125	0.4614726239
126	0.4611403658
127	0.4608440576
128	0.4605786964
129	0.4602594569
130	0.4600375664
131	0.4596551179
132	0.4592430129
133	0.4589962878
134	0.4586769006
135	0.4584026526
136	0.457992196
137	0.4576708237
138	0.4574050993
139	0.4571816612
140	0.4566915315
141	0.4561674544
142	0.4559066279
143	0.4557118229
144	0.4554045959
145	0.4553231753
146	0.455138714
147	0.4549541948
148	0.4547017742
149	0.4544016174
150	0.4540740113
151	0.4538508279
152	0.4535941208
153	0.4533095165
154	0.4530591093
155	0.4527492592
156	0.4525172053
157	0.4523514644
158	0.4521035845
159	0.4518631793
160	0.4516176937
161	0.4513846779
162	0.4512348512
163	0.4508651733
164	0.4506801095
165	0.4504623123
166	0.4500560391
167	0.4497320534
168	0.4494036364
169	0.4492726704
170	0.4490750457
171	0.4487293814
172	0.4484550997
173	0.4481300266
174	0.4479504776
175	0.4476801267
176	0.447470408
177	0.4473378529
178	0.4471613868
179	0.4469386194
180	0.44680161
181	0.4465280483
182	0.4463938112
183	0.4462153415
184	0.4459311377
185	0.4457928215
186	0.4455699233
187	0.4453133545
188	0.4451796137
189	0.4450412236
190	0.4448442256
191	0.4447368646
192	0.4445332374
193	0.4443629881
194	0.4440694033
195	0.4437681474
196	0.4435794312
197	0.4434112817
198	0.4432694004
199	0.4430246672
200	0.4427219927
201	0.4425224087
202	0.4421219677
203	0.4418779827
204	0.4415978674
205	0.4413472439
206	0.4411973556
207	0.4410549258
208	0.4408831669
209	0.4407085885
210	0.4403960473
211	0.4401922147
212	0.4399504393
213	0.4397851967
214	0.4396109354
